# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Users\welly\Documents\GitHub\LT38A\projeto01\quartus\proj1.csv
# Generated on: Thu Nov 16 21:29:07 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
col[2],Input,PIN_J10,8,B8_N1,PIN_J10,2.5 V,,,,,
col[1],Input,PIN_J14,8,B8_N0,PIN_J14,2.5 V,,,,,
col[0],Input,PIN_H13,8,B8_N0,PIN_H13,2.5 V,,,,,
Enable,Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
EnLed,Output,PIN_H15,7,B7_N2,PIN_H15,2.5 V,,,,,
reset,Input,PIN_AA22,5,B5_N2,PIN_Y27,,,,,,
row[3],Output,PIN_H14,8,B8_N0,PIN_H14,2.5 V,,,,,
row[2],Output,PIN_F14,8,B8_N0,PIN_F14,2.5 V,,,,,
row[1],Output,PIN_E10,8,B8_N1,PIN_E10,2.5 V,,,,,
row[0],Output,PIN_D9,8,B8_N1,PIN_D9,2.5 V,,,,,
sel[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
sel[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
ss0[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
ss0[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
ss0[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
ss0[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
ss0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
ss0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
ss0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
ss1[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
ss1[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
ss1[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
ss1[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
ss1[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
ss1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
ss1[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
ss2[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
ss2[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
ss2[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
ss2[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
ss2[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
ss2[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
ss2[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
strobe,Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
StrobeLed,Output,PIN_G16,7,B7_N2,PIN_G16,2.5 V,,,,,
