# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Users\welly\Documents\GitHub\LT38A\projeto02\quartus\proj02.csv
# Generated on: Fri Nov 24 15:37:13 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,,
col[2],Input,PIN_J10,8,B8_N1,PIN_AB15,,,,,,
col[1],Input,PIN_J14,8,B8_N0,PIN_AF17,,,,,,
col[0],Input,PIN_H13,8,B8_N0,PIN_AH22,,,,,,
direction_ref,Input,PIN_AC28,5,B5_N2,PIN_AD3,,,,,,
directionLed,Output,PIN_F17,7,B7_N2,PIN_E17,,,,,,
Enable,Input,PIN_Y23,5,B5_N2,PIN_AC28,,,,,,
encoderC1,Input,,,,PIN_Y2,,,,,,
encoderC2,Input,,,,PIN_F17,,,,,,
EnLed,Output,PIN_H15,7,B7_N2,PIN_Y23,,,,,,
in1,Output,,,,PIN_AD1,,,,,,
in2,Output,,,,PIN_AD2,,,,,,
reset,Input,PIN_AA22,5,B5_N2,PIN_AH14,,,,,,
row[3],Output,PIN_H14,8,B8_N0,PIN_AG12,,,,,,
row[2],Output,PIN_F14,8,B8_N0,PIN_AG19,,,,,,
row[1],Output,PIN_E10,8,B8_N1,PIN_AH19,,,,,,
row[0],Output,PIN_D9,8,B8_N1,PIN_AH21,,,,,,
sel,Input,PIN_AB28,5,B5_N1,PIN_AE17,,,,,,
ss0[6],Output,PIN_H22,6,B6_N0,PIN_AD17,,,,,,
ss0[5],Output,PIN_J22,6,B6_N0,PIN_AE18,,,,,,
ss0[4],Output,PIN_L25,6,B6_N1,PIN_AG22,,,,,,
ss0[3],Output,PIN_L26,6,B6_N1,PIN_AG21,,,,,,
ss0[2],Output,PIN_E17,7,B7_N2,PIN_AH18,,,,,,
ss0[1],Output,PIN_F22,7,B7_N0,PIN_AG18,,,,,,
ss0[0],Output,PIN_G18,7,B7_N2,PIN_AF18,,,,,,
ss1[6],Output,PIN_U24,5,B5_N0,PIN_AE15,,,,,,
ss1[5],Output,PIN_U23,5,B5_N1,PIN_AF16,,,,,,
ss1[4],Output,PIN_W25,5,B5_N1,PIN_AA15,,,,,,
ss1[3],Output,PIN_W22,5,B5_N0,PIN_AE16,,,,,,
ss1[2],Output,PIN_W21,5,B5_N1,PIN_AC17,,,,,,
ss1[1],Output,PIN_Y22,5,B5_N0,PIN_AB16,,,,,,
ss1[0],Output,PIN_M24,6,B6_N2,PIN_AA16,,,,,,
ss2[6],Output,PIN_W28,5,B5_N1,PIN_AC15,,,,,,
ss2[5],Output,PIN_W27,5,B5_N1,PIN_AG17,,,,,,
ss2[4],Output,PIN_Y26,5,B5_N1,PIN_AH17,,,,,,
ss2[3],Output,PIN_W26,5,B5_N1,PIN_AF15,,,,,,
ss2[2],Output,PIN_Y25,5,B5_N1,PIN_Y14,,,,,,
ss2[1],Output,PIN_AA26,5,B5_N1,PIN_AD15,,,,,,
ss2[0],Output,PIN_AA25,5,B5_N1,PIN_AC14,,,,,,
ss4[6],Output,PIN_AH18,4,B4_N2,PIN_F15,,,,,,
ss4[5],Output,PIN_AF18,4,B4_N1,PIN_H15,,,,,,
ss4[4],Output,PIN_AG19,4,B4_N2,PIN_A17,,,,,,
ss4[3],Output,PIN_AH19,4,B4_N2,PIN_E15,,,,,,
ss4[2],Output,PIN_AB18,4,B4_N0,PIN_C12,,,,,,
ss4[1],Output,PIN_AC18,4,B4_N1,PIN_D12,,,,,,
ss4[0],Output,PIN_AD18,4,B4_N1,PIN_J15,,,,,,
ss5[6],Output,PIN_AC17,4,B4_N2,PIN_C13,,,,,,
ss5[5],Output,PIN_AA15,4,B4_N2,PIN_D15,,,,,,
ss5[4],Output,PIN_AB15,4,B4_N2,PIN_C14,,,,,,
ss5[3],Output,PIN_AB17,4,B4_N1,PIN_H14,,,,,,
ss5[2],Output,PIN_AA16,4,B4_N2,PIN_D14,,,,,,
ss5[1],Output,PIN_AB16,4,B4_N2,PIN_D13,,,,,,
ss5[0],Output,PIN_AA17,4,B4_N1,PIN_C15,,,,,,
ss6[6],Output,PIN_AD17,4,B4_N2,PIN_C16,,,,,,
ss6[5],Output,PIN_AE17,4,B4_N2,PIN_B17,,,,,,
ss6[4],Output,PIN_AG17,4,B4_N2,PIN_G16,,,,,,
ss6[3],Output,PIN_AH17,4,B4_N2,PIN_G15,,,,,,
ss6[2],Output,PIN_AF17,4,B4_N2,PIN_J16,,,,,,
ss6[1],Output,PIN_AG18,4,B4_N2,PIN_D16,,,,,,
ss6[0],Output,PIN_AA14,3,B3_N0,PIN_H16,,,,,,
strobe,Input,PIN_Y24,5,B5_N2,PIN_Y15,,,,,,
StrobeLed,Output,PIN_G16,7,B7_N2,PIN_AD14,,,,,,
